productionOrderString;qtdPreview;statusType;endDate;itemCode;machineGroup;progressOrder;referDescription;itemRefer;plannerUser;balanceTimeSetup;balanceTimeActivity;opCode;logSfc;itemDescription;prodOrderCode;qtdProd;prtProd;siteCode;machineCode;qtdOrd;opSfcCode;qtdScrap;nrOrder;splitCode;iniDate;customer
1.274.318;0;2;22022022;1.11.1447;;2;;;USI-001;0;0;10;False;BUCHA DO CONJUNTO DA RODA;1274318;0;0;10;;28;0;0;;0;21022022;
1.274.326;0;2;22022022;1.11.1714;;2;;;USI-001;0;0;10;False;BUCHA DO TUBO DO CABECALHO;1274326;0;0;10;;80;0;0;;0;21022022;
1.274.321;0;2;23022022;1.11.1464;;2;;;USI-001;0;0;10;False;BUCHA DA TRAVA DO PINO DO ENGATE;1274321;0;0;10;;8;0;0;;0;22022022;
1.274.324;0;2;23022022;1.11.1479;;2;;;USI-001;0;0;10;False;BUCHA Ø31,75 X Ø20 X 30MM;1274324;0;0;10;;16;0;0;;0;22022022;
1.274.429;0;2;23022022;1.25.1557;;2;;;USI-001;0;0;10;False;PINO DE TRAVA DOS REFORÇOS DO CHASSI RG1031;1274429;0;0;10;;16;0;0;;0;22022022;
1.274.634;0;2;23022022;3.11.030;;2;;;USI-001;0;0;10;False;BUCHA Ø25.4 X Ø20 X 54MM;1274634;0;0;10;;8;0;0;;0;22022022;
