productionOrderString;qtdPreview;statusType;endDate;itemCode;machineGroup;progressOrder;referDescription;itemRefer;plannerUser;balanceTimeSetup;balanceTimeActivity;opCode;logSfc;itemDescription;prodOrderCode;qtdProd;prtProd;siteCode;machineCode;qtdOrd;opSfcCode;qtdScrap;nrOrder;splitCode;iniDate;customer
532.041;0;2;16012023;5.22.045;;2;;;SOL-013;0;0;10;False;MANCAL COMPLETO C/ REFORCO DO ROLO SUPERIOR;532041;0;0;10;;10;0;0;;0;16012023;
532.042;0;2;16012023;5.12.165;;2;;;MON-005;0;0;10;False;CUBO DO EIXO TRASEIRO DA ESTEIRA HORIZ. - CJ;532042;0;0;10;;10;0;0;;0;16012023;
532.036;0;2;16012023;5.10.003;;2;;;LAS-001;0;0;10;False;ARRUELA DE CALCO DO EIXO DO RODEIRO;532036;0;0;10;;40;0;0;;0;16012023;
532.037;0;2;16012023;5.23.104;;2;;;EXT-001;0;0;10;False;NIPLE R M 3/4 JIC X M 1/4 BSP X 35MM;532037;0;0;10;;10;0;0;;0;16012023;
532.038;0;2;17012023;5.25.115;;2;;;EXT-001;0;0;10;False;PARAFUSO SEXTAVADO UNS 1 X 60MM;532038;0;0;10;;20;0;0;;0;16012023;
532.039;0;2;17012023;5.12.012;;2;;;SER-001;0;0;10;False;CHAVETA 15,88 X 15,88 X 72MM;532039;0;0;10;;20;0;0;;0;16012023;
532.040;0;2;16012023;5.29.195;;2;;;MON-005;0;0;10;False;TOMADA 3 VIAS COMPLETA;532040;0;0;10;;10;0;0;;0;16012023;
