ordem;narrativa
513964;ACAO: CRIADA SOLICITANTE: MARIO MOTIVO: DISPOSITIVO DE GABARITO
513989;GABRIEL
513990;GABRIEL
514032;"JUNIOR
16 > 26"
514043;Estrututa Inf. Direito Pedido ATA 45899
514080;Estrututa Inf. Direito Pedido ATA 45899
514139;Estrutura Inf. Pedido ATA 45899
514145;Estrutura Inf. Direito Pedido ATA 45899
514369;Pedido ATA 45947
514373;Pedido ATA 45947
514571;"PeCas Avulsa lote 12/08/22
"
514588;PeCas Avulsa lote 12/08/22
514611;PeCas Avulsa lote 12/08/22
514633;"PeCas Avulsa lote 12/08/22
24 > 200"
514635;"PeCas Avulsa lote 12/08/22
8 > 200"
514637;"PeCas Avulsa lote 12/08/22
40 > 500"
514642;"PeCas Avulsa lote 12/08/22
"
514653;"PeCas Avulsa lote 12/08/22
8 > 200"
514655;"PeCas Avulsa lote 12/08/22
"
514657;"PeCas Avulsa lote 12/08/22
24 > 200 "
514660;"PeCas Avulsa lote 12/08/22
"
514661;"PeCas Avulsa lote 12/08/22
"
514712;Ordens Gmoretto 16/08
514718;Ordens Gmoretto 16/08
514726;Ordens Gmoretto 16/08
514727;Ordens Gmoretto 16/08
514751;Ordens Gmoretto 16/08
514796;COR: VERDE JD
514991;DEIVIDIRS
515094;jaraujo- estrura da bica atrx  19/08
515095;jaraujo- estrura da bica atrx  19/08
515124;"PECA DE REPOSICAO REFERENTE A OP: 514982
2> 30 "
515211;
515214;GERAR NOVO ACOPLAMENTO P/ NOVO SUPORTE DO SULCADOR 
515215;GERAR NOVO ACOPLAMENTO P/ NOVO SUPORTE DO SULCADOR 
515219;COR: VERDE JD
515306;REF A ROLDANA DA GRUNNER 
515335;PECA REPOSICAO REFERENTE A OP: 515251
515362; Eixo ExportaCAo, Abu Dhabi.
515413;ProteCAo PCP ANGELOVB 29/08
515451;PECA AVULSA REFERENTE A OP: 515383
515452;PECA AVULSA REFERENTE A OP: 515383
515453;PECA AVULSA REFERENTE A OP: 515383
515477;
515478;gmoretto
515479;gmoretto
515532;
515533;
515623;ZAMBELLI
515722;" PeCas Avulsa para Atendimento de Garantia
"
515723;" PeCas Avulsa para Atendimento de Garantia
"
515809;"COR: CINZA METALICO
ATENDIMENTO EM GARANTIA - SG.138"
515834;PECA REPOSICAO REFERENTE A OP: 515800
515875;JUMIL
515884;JUMIL
516028;op: 1305425
516144;RETRABALHO TORNO - CHAVETEIRO
516145;angelovb
516146;angelovb
516153;dispositivos p/ Fabrica 2
516154;"dispositivos p/ Fabrica 2
"
516155;"dispositivos p/ Fabrica 2
"
516158;"dispositivos p/ Fabrica 2
"
516159;"dispositivos p/ Fabrica 2
"
516160;"dispositivos p/ Fabrica 2
"
516161;"dispositivos p/ Fabrica 2
"
516162;"dispositivos p/ Fabrica 2
"
516163;"dispositivos p/ Fabrica 2
"
516164;"dispositivos p/ Fabrica 2
"
516165;"dispositivos p/ Fabrica 2
"
516166;"dispositivos p/ Fabrica 2
"
516167;"dispositivos p/ Fabrica 2
"
516168;"dispositivos p/ Fabrica 2
"
516169;"dispositivos p/ Fabrica 2
"
516171;"dispositivos p/ Fabrica 2
"
516173;"dispositivos p/ Fabrica 2
"
516174;"dispositivos p/ Fabrica 2
"
516176;"dispositivos p/ Fabrica 2
"
516177;"dispositivos p/ Fabrica 2
"
516178;"dispositivos p/ Fabrica 2
"
516179;"dispositivos p/ Fabrica 2
"
516180;"dispositivos p/ Fabrica 2
"
516181;"dispositivos p/ Fabrica 2
"
516182;"dispositivos p/ Fabrica 2
"
516183;"dispositivos p/ Fabrica 2
"
516186;angelovb
516191;angelovb FURO 60 MM 
516192;FURO 44 MM
516334;
516340;
516407;ANGELOVB - PCP REPOSICAO GABARITO
516420;ANGELOVB - PCP REPOSICAO GABARITO
516422;ANGELOVB - PCP REPOSICAO GABARITO
516423;FABRICA 2
516501;PECAS DE REPOSICAO - PLANTIO
516510;PECAS DE REPOSICAO - PLANTIO
516551;GABRIEL
516640;LBISPO
516696;JUNIOR
516726;CVICENTE - ATA 28000
516727;CVICENTE - ATA 28000
516732;GABRIEL
516738;CVICENTE - ATA 28000
516787;FRACIONADO OP: 1303052
516788;FRACIONADO OP: 1303052
516789;FRACIONADO OP: 1303052
516798;FRACIONADO OP: 1303052
516800;
516825;JUNIOR
516836;MARIO
516877;DF 5 MAQ
516885;DF 5 MAQ
516932;DF 5 MAQ
516993;REFERENTE AO RESTANTE DA OP: 515251
517016;24 Grunner - Pedido: 46625
517017;24 Grunner - Pedido: 46625
517018;24 Grunner - Pedido: 46625
517019;24 Grunner - Pedido: 46625
517050;24 Grunner - Pedido: 46625
517051;24 Grunner - Pedido: 46625
517052;24 Grunner - Pedido: 46625
517053;24 Grunner - Pedido: 46625
517054;24 Grunner - Pedido: 46625
517055;24 Grunner - Pedido: 46625
517093;JUNIOR
517096;JUNIOR
517118;JUNIOR
517121;JUNIOR
517134;JUNIOR
517137;JUNIOR
517145;JUNIOR
517165;JUNIOR
517174;JUNIOR
517190;
517271;ANGELOVB - TALHA
517308;10/10/2022 - 1.314.398 A 1.315.033
517445;COR: VERDE JD PEDIDO: 46733 CLIENTE: DELTA
517506;
517511;
517536;ABERETELLA - TALHA
517608;GABRIEL
517638;
517644;ROGERIO
517659;JUNIOR
517666;JUNIOR
517669;JUNIOR
517678;JUNIOR
517860;VINHACA - REF OP: 517.844
517994;
518037;PECAS DE REPOSICAO
518162;PROTECAO DE SEGURANCA DA PRENSA (NR 12)
518184;PECAS DE REPOSICAO / REF OP: 518.144 / PED: 46930 / COR: CERDE JD
530000;gmoretto-estoque
530001;gmoretto-estoque
530059;PLANTIO
530060;PLANTIO
530100;
530179;ANGELOVB - ATA2
530269;angelovb
530276;
530347;
530348;gmoretto
530352;USINADOS ATA 22000SC - 17/11/2022
530365;USINADOS ATA 22000SC - 17/11/2022
530393;
530414;PECAS DE REPOSICAO / COR: VERDE JD 
530417;PECAS DE REPOSICAO / ESTOQUE / COR: CINZA MASSEY
530423;PECAS DE REPOSICAO / ESTOQUE / COR: CINZA MASSEY
530466;PECA DE REPOSICAO / COR: VERDE JD
530467;PECA DE REPOSICAO / COR: VERDE JD
530498;PECA DE REPOSICAO / REF OP: 530.423 / ESTOQUE / COR: CINZA MASSEY
530511;FABRICA 2 - CONTINUACAO OP: 516172
530572;PECAS DE REPOSICAO / REF OP: 530.423 / ESTOQUE / COR: CINZA MASSEY
530587;ATA 2 - ABERETELLA
530616;PECAS DE REPOSICAO / ITENS FALTANTES
530622;
530623;
530627;PROTOTIPO
530667;gmoretto 02/12
530668;gmoretto 02/12
530691;
530759;
530851;PECAS DE REPOSICAO / PED: 47223 / COR: PRETO
530862;PECAS DE REPOSICAO / REF OP: 530.852 / PED: 47223 / COR: PRETO
530863;PECAS DE REPOSICAO / REF OP: 530.852 / PED: 47223 / COR: PRETO
530871;
530879;GABRIEL
530890;GRUNNER REFORMA (SR ADELIO)
530897;REFORMA GRUNNER (SR ADELIO)
530905;REFORMA GRUNNER (SR ADELIO)
530909;REFORMA GRUNNER (SR ADELIO)
530917;REFORMA GRUNNER (SR ADELIO)
530933;REFORMA GRUNNER (SR ADELIO)
530935;REFORMA GRUNNER (SR ADELIO)
530936;REFORMA GRUNNER (SR ADELIO)
530976;GABRIEL
530988;PECAS DE REPOSICAO
530991;PECAS DE REPOSICAO
