ordem;narrativa
535709;APAZIN - QUEBRA LOMBO RAIZEN
535710;APAZIN - QUEBRA LOMBO RAIZEN
535727;APAZIN - QUEBRA LOMBO RAIZEN
535729;APAZIN - QUEBRA LOMBO RAIZEN
535730;APAZIN - QUEBRA LOMBO RAIZEN
535731;APAZIN - QUEBRA LOMBO RAIZEN
535732;APAZIN - QUEBRA LOMBO RAIZEN
535733;APAZIN - QUEBRA LOMBO RAIZEN
535734;APAZIN - QUEBRA LOMBO RAIZEN
535736;APAZIN - QUEBRA LOMBO RAIZEN
535747;PECAS DE REPOSICAO / ESTOQUE
535748;PECAS DE REPOSICAO / ESTOQUE
535749;PECAS DE REPOSICAO / ESTOQUE
535750;PECAS DE REPOSICAO / ESTOQUE
535754;PECAS DE REPOSICAO / ESTOQUE
535769;PECAS DE REPOSICAO / ESTOQUE
535770;GABRIEL - AVL
535771;GABRIEL - AVL
535774;GABRIEL - AVL
535780;GABRIEL - AVL
535781;GABRIEL - AVL
535782;GABRIEL - AVL
535790;APAZIN - QUEBRA LOMBO RAIZEN
535791;APAZIN - QUEBRA LOMBO RAIZEN
535792;APAZIN - QUEBRA LOMBO RAIZEN
535793;APAZIN - QUEBRA LOMBO RAIZEN
535794;APAZIN - QUEBRA LOMBO RAIZEN
535814;APAZIN - QUEBRA LOMBO RAIZEN
535822;APAZIN - QUEBRA LOMBO RAIZEN
535823;APAZIN - QUEBRA LOMBO RAIZEN
535824;APAZIN - QUEBRA LOMBO RAIZEN
535826;APAZIN - QUEBRA LOMBO RAIZEN
535831;PECAS DE REPOSICAO / ESTOQUE
535875;ATA 2
535906;PECAS DE REPOSICAO / PED: 48686 e 48687
535907;PECAS DE REPOSICAO / PED: 48686 
535940;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535943;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535944;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535945;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535946;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535948;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535949;APAZIN - AVL 25000 TRATOR CASE MAGNUM
535966;GABRIEL
535968;GABRIEL
535970;GABRIEL
535973;GABRIEL
535974;GABRIEL
535975;GABRIEL
535978;APAZIN - QUEBRA LOMBO RAIZEN
535981;APAZIN - QUEBRA LOMBO RAIZEN
536003;PECAS DE REPOSICAO / PED: 48732 / COR: VERDE JD
536021;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536022;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536048;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536049;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536050;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536051;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536078;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536079;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536085;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536091;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536092;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536097;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536099;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536102;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536104;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536110;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536111;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536115;PECAS DE REPOSICAO / CLIENTE: PEDRO CASSIA (MARCOS ROMANO) / COR: VERDE JD
536138;PECAS DE REPOSICAO / PED: 48732 / COR: VERDE JD
536142;PECAS DE REPOSICAO / PED: 48733
536153;PECAS DE REPOSICAO / PED: 48738
536162;OP: 516175 - ATA 2
536170;APAZIN - QUEBRA LOMBO RAIZEN
536197;APAZIN - QUEBRA LOMBO RAIZEN
536198;APAZIN - QUEBRA LOMBO RAIZEN
536199;APAZIN - QUEBRA LOMBO RAIZEN
536201;APAZIN - QUEBRA LOMBO RAIZEN
536202;APAZIN - QUEBRA LOMBO RAIZEN
536203;APAZIN - QUEBRA LOMBO RAIZEN
536204;APAZIN - QUEBRA LOMBO RAIZEN
536205;APAZIN - QUEBRA LOMBO RAIZEN
536206;APAZIN - QUEBRA LOMBO RAIZEN
536207;APAZIN - QUEBRA LOMBO RAIZEN
536209;PECAS DE REPOSICAO
536214;PECAS DE REPOSICAO / REPOSICAO AVP
536215;PECAS DE REPOSICAO / REPOSICAO AVP
536217;PECAS DE REPOSICAO / REPOSICAO AVP
536218;PECAS DE REPOSICAO / PED: 48753
536220;PECAS DE REPOSICAO / REPOSICAO AVP
536223;PECAS DE REPOSICAO / REPOSICAO AVP
536224;PECAS DE REPOSICAO / REPOSICAO AVP
536226;PECAS DE REPOSICAO / PED: 48769
536231;PECAS DE REPOSICAO / PED: 48771
536247;APAZIN - QUEBRA LOMBO RAIZEN
536249;APAZIN - QUEBRA LOMBO RAIZEN
536250;APAZIN - QUEBRA LOMBO RAIZEN
536269;6 >> 100 PECAS DE REPOSICAO / REPOSICAO AVP
536350;PECAS DE REPOSICAO / PED: 48769
536424;PECAS DE REPOSICAO / PED: 48782 / COR: VERDE JD
536425;PECAS DE REPOSICAO / PED: 48782 / COR: VERDE JD
536427;PECAS DE REPOSICAO / PED: 48782 / COR: VERDE JD
536428;PECAS DE REPOSICAO / PED: 48782 
536429;PECAS DE REPOSICAO / PED: 48786 / COR: VERDE JD
536430;PECAS DE REPOSICAO / PED: 48786 / COR: VERDE JD
536431;PECAS DE REPOSICAO / PED: 48788 / COR: VERDE JD
536432;PECAS DE REPOSICAO / PED: 48788 / COR: VERDE JD
536433;PECAS DE REPOSICAO / PED: 48788 / COR: VERDE JD
536436;PECAS DE REPOSICAO / PED: 48788 / COR: VERDE JD
536445;PECAS DE REPOSICAO / PED: 48792
536492;FSANTOS - GNFA56 C/PPI - 22/05/2023
536493;6 >> 100 - FSANTOS - GNFA56 C/PPI - 22/05/2023
536499;PECAS DE REPOSICAO / PED:48789
536507;PECAS DE REPOSICAO / PED:48789
536509;PECAS DE REPOSICAO / PED:48782 e 48788 / COR: VERDE JD
536543;PECAS DE REPOSICAO / PED:48782 
536552;PECAS DE REPOSICAO / PED:48792 
536554;PECAS DE REPOSICAO / PED:48792 
536559;ABERETELLA
536560;ABERETELLA
536561;ABERETELLA
536562;ABERETELLA
536563;MARIO
536587;ABERETELLA
536588;ABERETELLA
536590;PECAS DE REPOSICAO
536592;PECAS DE REPOSICAO
536593;PECAS DE REPOSICAO
536594;PECAS DE REPOSICAO
536595;PECAS DE REPOSICAO
536596;PECAS DE REPOSICAO
536616;PECAS DE REPOSICAO
536639;AJUSTE ESTQ
536684;"PECAS DE REPOSICAO / PED: 48815 / COR: VERDE JD
"
536714;PECAS DE REPOSICAO
536717;PECAS DE REPOSICAO
536726;PECAS DE REPOSICAO
536728;2 >> 50 PECAS DE REPOSICAO
536737;PECAS DE REPOSICAO / SOLICITADAS POR MARCOS ROMANO
536746;ABERETELLA
536825;PECAS DE REPOSICAO / PED: 48792
536827;PECAS DE REPOSICAO / PED: 48792
536828;PECAS DE REPOSICAO / PED: 48792
536829;PECAS DE REPOSICAO / PED: 48792
536830;PECAS DE REPOSICAO / PED: 48792
536831;PECAS DE REPOSICAO / PED: 48792
536840;PECAS DE REPOSICAO / PED: 48862 / COR: VERDE JD
536842;PECAS DE REPOSICAO / PED: 48868
536844;PECAS DE REPOSICAO / PED: 48868
536851;PECAS DE REPOSICAO / PED: 48862 / COR: VERDE JD
536853;PECAS DE REPOSICAO / PED: 48862 / COR: VERDE JD
536854;PECAS DE REPOSICAO / PED: 48862 / COR: VERDE JD
536855;PECAS DE REPOSICAO / PED: 48862 / COR: VERDE JD
536868;LBISPO - AVL
536869;LBISPO - AVL
536870;LBISPO - AVL
536872;LBISPO - AVL
536873;LBISPO - AVL
536875;LBISPO - AVL
536876; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536877; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536886; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536887; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536913; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536914; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536915; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536916; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536943; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536944; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536946; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536947; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536949; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536950; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536953; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536954; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536956; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536957; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536960; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536962; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536963; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536964; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536967; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536968; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536969; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536970; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536975; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536976; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536978; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536979; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
536980; PECAS DE REPOSICAO / CLIENTE: MARIO LEMOS (SOLICITADO POR MARCOS ROMANO)
537007;AJUSTE ESTQ
537016;CVICENTE - SULCADORES MODIFICADOS
537017;CVICENTE - SULCADORES MODIFICADOS
537020;CVICENTE - SULCADORES MODIFICADOS
537021;CVICENTE - SULCADORES MODIFICADOS
537022;CVICENTE - SULCADORES MODIFICADOS
537023;CVICENTE - SULCADORES MODIFICADOS
537024;CVICENTE - SULCADORES MODIFICADOS
537078;CVICENTE - SULCADORES MODIFICADOS
537079;CVICENTE - SULCADORES MODIFICADOS
537080;CVICENTE - SULCADORES MODIFICADOS
537091;CVICENTE - SULCADORES MODIFICADOS
537092;CVICENTE - SULCADORES MODIFICADOS
537093;CVICENTE - SULCADORES MODIFICADOS
537094;CVICENTE - SULCADORES MODIFICADOS
537095;CVICENTE - SULCADORES MODIFICADOS
537096;CVICENTE - SULCADORES MODIFICADOS
537097;CVICENTE - SULCADORES MODIFICADOS
537098;CVICENTE - SULCADORES MODIFICADOS
537099;CVICENTE - SULCADORES MODIFICADOS
537100;CVICENTE - SULCADORES MODIFICADOS
537101;CVICENTE - SULCADORES MODIFICADOS
537102;CVICENTE - SULCADORES MODIFICADOS
537103;CVICENTE - SULCADORES MODIFICADOS
537105;CVICENTE - SULCADORES MODIFICADOS
537107;CVICENTE - SULCADORES MODIFICADOS
537108;CVICENTE - SULCADORES MODIFICADOS
537109;CVICENTE - SULCADORES MODIFICADOS
537111;CVICENTE - SULCADORES MODIFICADOS
537112;CVICENTE - SULCADORES MODIFICADOS
537113;CVICENTE - SULCADORES MODIFICADOS
537114;CVICENTE - SULCADORES MODIFICADOS
537115;CVICENTE - SULCADORES MODIFICADOS
537116;CVICENTE - SULCADORES MODIFICADOS
537117;CVICENTE - SULCADORES MODIFICADOS
537118;CVICENTE - SULCADORES MODIFICADOS
537119;CVICENTE - SULCADORES MODIFICADOS
537120;CVICENTE - SULCADORES MODIFICADOS
537121;CVICENTE - SULCADORES MODIFICADOS
537126;GABRIEL
537169;PECAS DE REPOSICAO / PED: 48891
537170;PECAS DE REPOSICAO / PED: 48891
537173;PECAS DE REPOSICAO / PED: 48892
537195;PECAS DE REPOSICAO / PED: 48891
537204;PECAS DE REPOSICAO / PED: 48902
537214;PECAS DE REPOSICAO / PED: 48902
537227;ABERETELLA - GRADE
537260;
537261;
537268;PECAS DE REPOSICAO / PED: 48918 e 48927
537270;PECAS DE REPOSICAO / PED: 48918 e 48929
537271;PECAS DE REPOSICAO / PED: 48918, 48930 e 48939
537276;PECAS DE REPOSICAO / PED: 48939
537277;PECAS DE REPOSICAO / PED: 48944
537278;PECAS DE REPOSICAO / PED: 48944
537280;PECAS DE REPOSICAO / PED: 48972 / STATUS: PRIORIDADE
537283;PECAS DE REPOSICAO / PED: 48955
537284;PECAS DE REPOSICAO / PED: 48957
537285;PECAS DE REPOSICAO / PED: 48973
537286;PECAS DE REPOSICAO / PED: 48974 / COR: CINZA PANTONE
537296;PECAS DE REPOSICAO / PED: 48957
537297;PECAS DE REPOSICAO / PED: 48957
537303;PECAS DE REPOSICAO / PED: 48957
537304;PECAS DE REPOSICAO / PED: 48957
537307;PECAS DE REPOSICAO / PED: 48957
537310;PECAS DE REPOSICAO / PED: 48957
537311;PECAS DE REPOSICAO / PED: 48957
537312;PECAS DE REPOSICAO / PED: 48957
537313;PECAS DE REPOSICAO / PED: 48946
537318;PECAS DE REPOSICAO / PED: 48946
537319;PECAS DE REPOSICAO / PED: 48944
537320;PECAS DE REPOSICAO / PED: 48944
537328;10 >> 500 PECAS DE REPOSICAO / PED: 48939
537330;PECAS DE REPOSICAO / PED: 48933
537347;PECAS DE REPOSICAO / PED: 48918, 48928 e 48927
537355;PECAS DE REPOSICAO / PED: 48955
537366;PECAS DE REPOSICAO / PED: 48955
537367;PECAS DE REPOSICAO / PED: 48955
537370;PECAS DE REPOSICAO / PED: 48955
537377;PECAS DE REPOSICAO / PED: 48955
537400;JOAO ARAUJO
537401;JOAO ARAUJO
537402;JOAO ARAUJO
537403;JOAO ARAUJO
537404;JOAO ARAUJO
537405;JOAO ARAUJO
537406;JOAO ARAUJO
537407;JOAO ARAUJO
537420;ABERETELLA - ATA 2
537427;PECAS DE REPOSICAO / PED: 48449
537429;PECAS DE REPOSICAO / PED: 48449
537430;PECAS DE REPOSICAO / PED: 48449
537438;JOAO ARAUJO
537439;JOAO ARAUJO
537440;JOAO ARAUJO
537443;SPAGANINE - PECA REPOSICAO PED: 48868 - OP: 536841
537444;SPAGANINE - PECA REPOSICAO PED: 48868 - OP: 536841
537492;LBISPO - PECA REPOSICAO AVL 35000
537493;LBISPO - PECA REPOSICAO AVL 35000
537494;LBISPO - PECA REPOSICAO AVL 35000
537495;LBISPO - PECA REPOSICAO AVL 35000
537496;LBISPO - PECA REPOSICAO AVL 35000
537497;LBISPO - PECA REPOSICAO AVL 35000
537498;LBISPO - PECA REPOSICAO AVL 35000
537499;LBISPO - PECA REPOSICAO AVL 35000
537500;LBISPO - PECA REPOSICAO AVL 35000
537501;LBISPO - PECA REPOSICAO AVL 35000
537505;ABERETELLA - ATA2
537506;PECAS DE REPOSICAO / PED: 49027
537508;PECAS DE REPOSICAO / PED: 49045
537510;PECAS DE REPOSICAO / PED: 49049
537532;48 >> 250 PECAS DE REPOSICAO / PED: 49049
537543;JOAO ARAUJO
537544;JOAO ARAUJO
537555;JOAO ARAUJO
537563;JOAO ARAUJO
537564;JOAO ARAUJO
537565;JOAO ARAUJO
537566;JOAO ARAUJO
537567;JOAO ARAUJO
537568;JOAO ARAUJO
537569;JOAO ARAUJO
537570;JOAO ARAUJO
537581;JOAO ARAUJO
537583;Estoque PeCas ReposiCAo - AVL
537584;Estoque PeCas ReposiCAo - AVL
537585;Estoque PeCas ReposiCAo - AVL
537586;Estoque PeCas ReposiCAo - AVL
537587;Estoque PeCas ReposiCAo - AVL
537588;Estoque PeCas ReposiCAo - AVL
537589;Estoque PeCas ReposiCAo - AVL
537590;Estoque PeCas ReposiCAo - AVL
537591;Estoque PeCas ReposiCAo - AVL
537592;Estoque PeCas ReposiCAo - AVL
537593;Estoque PeCas ReposiCAo - AVL
537596;Estoque PeCas ReposiCAo - AVL
537598;Estoque PeCas ReposiCAo - AVL
537599;Estoque PeCas ReposiCAo - AVL
537600;Estoque PeCas ReposiCAo - AVL
537602;Estoque PeCas ReposiCAo - AVL
537603;Estoque PeCas ReposiCAo - AVL
537604;Estoque PeCas ReposiCAo - AVL
537605;Estoque PeCas ReposiCAo - AVL
537606;Estoque PeCas ReposiCAo - AVL
537609;Estoque PeCas ReposiCAo - AVL
537610;Estoque PeCas ReposiCAo - AVL
537611;Estoque PeCas ReposiCAo - AVL
537612;Estoque PeCas ReposiCAo - AVL
537613;Estoque PeCas ReposiCAo - AVL
537614;Estoque PeCas ReposiCAo - AVL
537615;Estoque PeCas ReposiCAo - AVL
537616;Estoque PeCas ReposiCAo - AVL
537617;Estoque PeCas ReposiCAo - AVL
537618;Estoque PeCas ReposiCAo - AVL
537623;537.622
537624;PAGANINE
537676;PECAS DE REPOSICAO / ESTOQUE
537678;PECAS DE REPOSICAO / PED:49042
537679;PECAS DE REPOSICAO / PED:49042
537682;PECAS DE REPOSICAO / PED:49042
537683;PECAS DE REPOSICAO / PED:49042
537685;PECAS DE REPOSICAO / PED:49059
537686;PECAS DE REPOSICAO / PED:49059
537689;PECAS DE REPOSICAO / PED:49059
537691;PECAS DE REPOSICAO / PED:49080
537692;PECAS DE REPOSICAO / ESTOQUE
537694;PECAS DE REPOSICAO / PED:49042
537701;PECAS DE REPOSICAO / PED:49059
537702;PECAS DE REPOSICAO / PED:49059
537703;PECAS DE REPOSICAO / PED:49059
537708;PECAS DE REPOSICAO / PED:49059
537709;PECAS DE REPOSICAO / PED:49059
537717;PECAS DE REPOSICAO / PED:49080
537719;PECAS DE REPOSICAO / PED:49080
537722;PECAS DE REPOSICAO / PED:49080
537724;PECAS DE REPOSICAO / PED:49080
537780;MTROVATTI - GNFA56 C/PPI - 22/05/2023
537886;MTROVATTI - GNFA56 C/PPI - 22/05/2023
537889;MTROVATTI - GNFA56 C/PPI - 22/05/2023
537901;PECA DE REPOSICAO / PED: 49096
537923;SPAGANINE
537937;CVICENTE - GRADE PPI
537938;CVICENTE - GRADE PPI
537939;CVICENTE - GRADE PPI
537960;PECA DE REPOSICAO
537961;PECA DE REPOSICAO
537962;PECA DE REPOSICAO / PEDIDO: 49132
537963;PECA DE REPOSICAO
537964;PECA DE REPOSICAO
537986;MARIO
537987;MARIO
538001;
538012;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538013;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538014;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538015;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538016;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538017;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538018;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538019;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538021;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538023;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538024;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538026;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538027;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538028;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538029;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538030;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538031;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538033;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538034;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538035;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538036;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538037;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538038;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538039;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538040;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538041;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538042;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538043;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538044;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538045;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538046;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538047;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538048;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538049;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538050;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538051;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538052;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538053;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538054;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538055;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538056;PECAS DE REPOSICAO / CLIENTE: MERCADAO TRATORES
538057;MARIO
538059;MARIO
538066;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538067;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538068;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538069;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538079;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538080;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538081;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538088;"PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
"
538089;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538100;PECAS DE REPOSICAO / GARANTIA / CLIENTE: COLOMBO
538104;PECAS DE REPOSICAO / PED: 49060
538105;PECAS DE REPOSICAO / PED: 49060
538106;PECAS DE REPOSICAO / PED: 49060
538116;
538117;
538126;
538131;PECAS DE REPOSICAO / PED: 49176
538132;PECAS DE REPOSICAO / PED: 49178
538133;PECAS DE REPOSICAO / PED: 49181
538134;PECAS DE REPOSICAO / PED: 49176
538143;PROTOTIPO
538147;MARIO
538151;ZAMBELLI 
538152;
538162;MARIO
538169;PECAS DE REPOSICAO / PED: 49200
538170;PECAS DE REPOSICAO / PED: 49200
538171;PECAS DE REPOSICAO / PED: 49200
538172;PECAS DE REPOSICAO / PED: 49205
538173;PECAS DE REPOSICAO / PED: 49205
538174;PECAS DE REPOSICAO / PED: 49172
538175;PECAS DE REPOSICAO / PED: 49209
538176;PECAS DE REPOSICAO / PED: 49211
538177;PECAS DE REPOSICAO / PED: 49211
538179;PECAS DE REPOSICAO / PED: 49196
538183;PECAS DE REPOSICAO / PED: 49200
538184;PECAS DE REPOSICAO / PED: 49200
538185;PECAS DE REPOSICAO / PED: 49200
538187;PECAS DE REPOSICAO / PED: 49205
538189;2 >> 10 PECAS DE REPOSICAO / PED: 49205
538190;PECAS DE REPOSICAO / PED: 49211
538191;PECAS DE REPOSICAO / PED: 49211
538196;PECAS DA FABRICA 2 
538197;
538198;
538199;
538201;ABERETELLA
538202;ABERETELLA
538203;ABERETELLA
538204;ABERETELLA
538205;ABERETELLA
538207;ABERETELLA
538208;ABERETELLA
538209;ABERETELLA
538210;ABERETELLA
538211;ABERETELLA
538212;ABERETELLA
538213;ABERETELLA
538214;ABERETELLA
538216;
538217;
538218;
538219;
538220;
538221;
538222;
538223;
538225;ABERETELLA - FABRICA 2
538226;
538227;
538228;
538229;MARIO
538230;BERETELLA
538231;BERETELLA
538232;BERETELLA
538235;ABERETELLA 
538236;GABRIEL
538240;MARIO
538241;MARIO
538242;MARIO
538243;MARIO
538245;GABRIEL
538246;GABRIEL
538247;GABRIEL
538248;GABRIEL
538249;ZAMBELLI
538250;ZAMBELLI
538253;MARIO
538254;FABRICA 2 - ABERETELLA
538255;
538256;
538257;
538258;
538260;"INDUSTRIALIZACAO (ZINCAGEM)
REFERENTE AO CODIGO 7.25.106
PESO: 10 KG"
538261;PECAS DE REPOSICAO / PED: 49241 e 49242
538262;PECAS DE REPOSICAO / PED: 49241
538263;PECAS DE REPOSICAO / PED: 49241
538264;PECAS DE REPOSICAO / PED: 49241
538265;PECAS DE REPOSICAO / PED: 49241
538266;PECAS DE REPOSICAO / PED: 49241
538267;PECAS DE REPOSICAO / PED: 49246
538268;PECAS DE REPOSICAO / PED: 49246
538269;PECAS DE REPOSICAO / PED: 49241
538270;PECAS DE REPOSICAO / PED: 49241
538271;PECAS DE REPOSICAO / PED: 49241
538272;PECAS DE REPOSICAO / PED: 49241
538273;PECAS DE REPOSICAO / PED: 49241
538274;PECAS DE REPOSICAO / PED: 49241
538275;PECAS DE REPOSICAO / PED: 49241
538276;PECAS DE REPOSICAO / PED: 49241
538277;PECAS DE REPOSICAO / PED: 49241
538278;PECAS DE REPOSICAO / PED: 49241
538279;PECAS DE REPOSICAO / PED: 49241
538280;PECAS DE REPOSICAO / PED: 49241
538281;PECAS DE REPOSICAO / PED: 49246
538282;PECAS DE REPOSICAO / PED: 49246
